date,open,high,close,low,volume,amount
2017-12-29,219.95,222.55,216.52,212.43,3682205.0,241834655.0
2017-12-28,213.82,220.51,219.95,212.1,4275158.0,280990243.0
2017-12-27,216.95,217.28,211.44,210.68,3430351.0,221881560.0
2017-12-26,219.59,220.44,216.29,214.51,2889799.0,189751229.0
2017-12-25,223.87,227.0,220.11,217.61,2941041.0,197641664.0
2017-12-22,226.94,230.14,224.13,218.86,4051652.0,274451915.0
2017-12-21,226.67,232.94,228.22,225.62,4318512.0,300178182.0
2017-12-20,217.61,230.3,227.93,217.44,5486096.0,376605398.0
2017-12-19,216.45,221.4,219.49,214.31,2921342.0,193918676.0
2017-12-18,215.17,222.45,216.39,215.17,3567694.0,236803148.0
2017-12-15,216.16,220.87,215.1,213.85,2708023.0,178887527.0
2017-12-14,219.29,219.49,217.61,215.33,4053542.0,266665718.0
2017-12-13,205.34,219.78,219.59,205.34,4972365.0,320929710.0
2017-12-12,208.47,212.2,204.95,204.58,3497541.0,221079806.0
2017-12-11,204.32,211.01,208.31,204.32,4018565.0,254392380.0
2017-12-08,195.85,204.42,204.32,195.29,2586643.0,158224685.0
2017-12-07,201.98,203.1,196.18,195.52,2290966.0,137657092.0
2017-12-06,204.65,209.0,201.95,200.46,2296754.0,141847801.0
2017-12-05,208.57,212.96,207.06,204.42,3507265.0,220537894.0
2017-12-04,203.73,213.32,210.02,201.19,3055868.0,193591998.0
2017-12-01,200.59,204.78,203.79,197.82,3450048.0,212292216.0
2017-11-30,197.92,203.13,200.63,195.55,1813510.0,110478718.0
2017-11-29,202.51,202.51,199.8,194.53,2652143.0,159853695.0
2017-11-28,196.28,203.76,202.77,196.24,3248558.0,198670603.0
2017-11-27,200.82,201.12,198.55,191.86,3966693.0,237118092.0
2017-11-24,206.0,207.91,201.78,194.56,5044876.0,305229373.0
2017-11-23,217.28,217.28,206.4,204.42,5099657.0,322932341.0
2017-11-22,224.89,227.43,219.52,218.37,4590804.0,308465501.0
2017-11-21,216.02,226.21,224.89,216.02,3892152.0,262799274.0
2017-11-20,217.61,218.6,216.95,207.22,2859949.0,187027949.0
2017-11-17,226.84,228.16,218.86,213.19,5339127.0,356597597.0
2017-11-16,227.47,231.19,230.79,224.2,4792855.0,333623350.0
2017-11-15,226.18,230.73,227.27,223.61,3750201.0,257548615.0
2017-11-14,235.08,235.64,224.56,224.2,4546806.0,313786825.0
2017-11-13,241.68,241.68,235.41,234.42,3662304.0,262561138.0
2017-11-10,240.36,247.94,242.2,237.59,3645106.0,267828584.0
2017-11-09,243.65,243.65,240.98,235.74,3790479.0,274253175.0
2017-11-08,246.62,248.93,244.94,239.37,3175495.0,234508161.0
2017-11-07,244.21,257.53,244.31,241.44,4348322.0,326030788.0
2017-11-06,232.11,245.63,244.35,231.98,3740907.0,272356156.0
2017-11-03,230.76,237.39,234.59,229.18,3277645.0,232635067.0
2017-11-02,236.1,238.05,230.47,229.05,3015617.0,212381300.0
2017-11-01,240.03,243.26,237.39,236.07,2465868.0,179078674.0
2017-10-31,238.71,241.94,240.62,232.44,2585667.0,185330341.0
2017-10-30,228.16,243.26,238.81,224.2,6314288.0,446293703.0
2017-10-27,223.34,233.83,231.26,223.34,3776715.0,263405170.0
2017-10-26,223.9,231.95,224.2,223.9,4240967.0,293764434.0
2017-10-25,220.54,222.55,218.79,217.61,2511990.0,166937161.0
2017-10-24,223.21,223.81,221.83,216.95,2989138.0,199303925.0
2017-10-23,221.99,225.29,222.62,218.6,2699738.0,181512934.0
2017-10-20,229.25,229.71,221.99,216.29,3942332.0,265159644.0
2017-10-19,225.85,236.66,231.78,225.85,3942137.0,277687702.0
2017-10-18,221.33,227.5,227.33,218.6,2992424.0,203364048.0
2017-10-17,221.93,227.17,220.9,217.31,2999123.0,200884572.0
2017-10-16,225.95,230.4,221.56,218.83,3688574.0,250032734.0
2017-10-13,229.71,233.47,228.45,225.78,2791111.0,193689375.0
2017-10-12,231.12,234.09,230.47,225.29,3099895.0,215600628.0
2017-10-11,219.59,236.99,231.12,216.95,4990215.0,344726293.0
2017-10-10,211.67,223.74,221.2,211.41,3710057.0,245037806.0
2017-10-09,208.01,215.76,213.85,204.35,4738141.0,303435293.0
2017-09-29,203.36,213.78,204.02,199.94,5846968.0,367376866.0
2017-09-28,192.55,206.99,204.02,191.43,7191060.0,433626456.0
2017-09-27,188.49,191.72,191.49,186.61,3511871.0,202731964.0
2017-09-26,190.74,192.06,189.42,185.06,3380200.0,194123003.0
2017-09-25,189.58,192.85,191.23,187.9,4391010.0,254198461.0
2017-09-22,189.91,193.04,190.67,184.21,5573850.0,317887420.0
2017-09-21,191.2,193.8,189.91,186.32,5466693.0,316381739.0
2017-09-20,186.71,199.11,189.55,186.71,10626088.0,620746908.0
2017-09-19,187.93,189.58,187.87,183.02,9250822.0,521669524.0
2017-09-18,168.28,186.15,186.15,168.28,10035021.0,547514271.0
2017-09-15,170.79,172.34,169.24,168.15,2344765.0,121038015.0
2017-09-14,172.83,175.01,171.35,170.36,2865489.0,149278063.0
2017-09-13,171.65,177.78,173.29,171.22,4879686.0,258494037.0
2017-09-12,168.15,172.6,172.6,166.47,4006521.0,206199781.0
2017-09-11,162.81,168.74,168.48,161.85,4013590.0,202177893.0
2017-09-08,164.19,164.82,163.01,161.82,2307508.0,114280597.0
2017-09-07,168.38,168.48,165.02,164.46,3573002.0,179431183.0
2017-09-06,170.33,170.46,168.38,167.95,1497564.0,76646259.0
2017-09-05,170.19,171.45,170.33,169.83,1506427.0,77956050.0
2017-09-04,169.8,171.45,171.45,167.1,3590530.0,183804786.0
2017-09-01,170.16,171.25,170.26,169.47,2072228.0,106997711.0
2017-08-31,172.47,173.36,170.79,168.55,2862896.0,148023294.0
2017-08-30,172.97,173.36,172.47,169.5,3499177.0,181677503.0
2017-08-29,171.38,174.25,173.62,169.87,3511315.0,183461714.0
2017-08-28,174.75,176.39,171.78,171.45,8488433.0,446694195.0
2017-08-25,166.87,170.95,170.19,166.87,2277935.0,116850306.0
2017-08-24,168.84,169.44,166.47,166.11,2366578.0,120439688.0
2017-08-23,167.82,169.77,169.31,166.83,2444430.0,125021426.0
2017-08-22,171.22,171.22,167.95,165.38,4208126.0,214251409.0
2017-08-21,173.53,174.09,171.97,169.8,2926275.0,151947545.0
2017-08-18,173.43,174.65,173.1,170.99,2695987.0,141220370.0
2017-08-17,175.73,175.73,173.36,171.61,2856143.0,149989808.0
2017-08-16,176.06,177.84,174.25,172.5,3201369.0,169436764.0
2017-08-15,178.8,180.61,176.56,174.78,4095242.0,220098325.0
2017-08-14,178.04,186.94,181.11,176.53,4772173.0,262556239.0
2017-08-11,179.69,183.98,178.67,177.55,3442541.0,188325560.0
2017-08-10,178.21,187.27,181.27,177.58,6781402.0,375271435.0
2017-08-09,169.27,179.95,178.21,169.27,5605096.0,300292206.0
2017-08-08,176.16,179.23,170.46,169.24,6443720.0,339317714.0
2017-08-07,168.31,178.04,176.99,166.93,4266641.0,223730480.0
2017-08-04,170.75,172.5,168.94,168.15,2418730.0,124798238.0
2017-08-03,173.95,178.7,171.15,169.96,3902399.0,205673682.0
2017-08-02,177.91,179.23,174.71,173.19,3913321.0,207868651.0
2017-08-01,177.35,181.6,178.27,176.39,4259198.0,230182815.0
2017-07-31,176.03,184.14,177.38,174.84,8504257.0,461463416.0
2017-07-28,160.04,176.66,175.73,159.12,9323186.0,481429157.0
2017-07-27,156.71,160.76,160.6,155.85,3046159.0,146709670.0
2017-07-26,158.42,161.66,156.68,155.85,2595595.0,124573625.0
2017-07-25,162.31,162.51,159.28,159.12,1797721.0,87521344.0
2017-07-24,160.53,166.21,161.75,160.24,3634290.0,180414599.0
2017-07-21,158.26,162.71,161.0,157.27,3219278.0,157005329.0
2017-07-20,157.2,158.92,158.26,155.69,2666692.0,127384364.0
2017-07-19,155.95,158.59,157.01,154.47,3157925.0,149910479.0
2017-07-18,154.93,156.08,155.19,150.35,2338733.0,108154455.0
2017-07-17,160.83,161.49,154.93,154.04,2952985.0,140105230.0
2017-07-14,159.64,160.83,160.63,158.59,1774848.0,86046861.0
2017-07-13,159.58,162.05,159.68,158.0,1538828.0,74618514.0
2017-07-12,159.91,160.9,159.58,157.8,1315215.0,63359976.0
2017-07-11,159.68,162.15,159.91,159.61,2106724.0,102937814.0
2017-07-10,157.76,160.11,159.61,157.44,1522219.0,73346960.0
2017-07-07,160.57,160.9,158.26,156.48,3036377.0,145853619.0
2017-07-06,162.38,162.78,160.24,159.84,2806941.0,136911149.0
2017-07-05,161.69,163.04,162.48,160.47,2105631.0,103460446.0
2017-07-04,164.46,165.08,161.46,158.95,2843496.0,139273667.0
2017-07-03,167.89,168.74,164.52,163.6,1928291.0,96454473.0
2017-06-30,167.52,169.04,167.99,166.83,1179708.0,60141467.0
2017-06-29,168.18,169.34,168.78,167.16,1350931.0,68954474.0
2017-06-28,170.54,171.03,168.03,166.79,2578112.0,133596799.0
2017-06-27,170.44,172.0,170.28,167.67,2585069.0,134494484.0
2017-06-26,163.56,171.25,170.76,163.56,4638725.0,240971156.0
2017-06-23,162.91,164.21,164.02,160.76,1827177.0,91026498.0
2017-06-22,165.65,165.65,162.94,162.88,2928875.0,147631196.0
2017-06-21,161.38,165.88,165.88,160.34,2839171.0,141530637.0
2017-06-20,162.94,163.5,161.05,159.88,2000811.0,98686254.0
2017-06-19,161.74,163.27,162.55,160.66,2331590.0,115974733.0
2017-06-16,162.39,163.59,161.05,160.34,2042827.0,101231098.0
2017-06-15,167.83,167.83,163.92,160.24,2372724.0,118708553.0
2017-06-14,167.21,171.06,166.69,165.09,2101882.0,108367872.0
2017-06-13,167.51,169.79,167.83,164.34,1611176.0,82638597.0
2017-06-12,166.01,172.07,167.9,165.03,3400049.0,176492930.0
2017-06-09,166.37,170.96,165.19,164.7,3699412.0,190343552.0
2017-06-08,163.17,167.83,165.06,163.17,2928589.0,149015096.0
2017-06-07,154.21,165.55,163.66,153.49,4292634.0,211529091.0
2017-06-06,150.89,154.34,154.21,149.91,1568227.0,73347448.0
2017-06-05,153.07,153.82,150.4,149.81,2570270.0,119432245.0
2017-06-02,153.85,155.02,153.07,150.85,1294257.0,60796982.0
2017-06-01,153.17,155.38,153.85,153.13,1656721.0,78546526.0
2017-05-31,156.07,157.7,154.47,152.51,2704101.0,128499673.0
2017-05-26,155.9,158.06,156.07,155.45,2808025.0,135320307.0
2017-05-25,158.32,158.32,154.44,152.87,3478959.0,164486199.0
2017-05-24,160.27,160.27,158.32,150.2,1561120.0,74894765.0
2017-05-23,156.78,164.34,160.43,156.78,3020932.0,149461863.0
2017-05-22,160.5,161.02,157.96,156.75,1543309.0,75146895.0
2017-05-19,160.5,163.59,160.21,159.16,1498337.0,74256541.0
2017-05-18,159.03,162.75,160.56,158.61,1742774.0,86285463.0
2017-05-17,162.36,162.68,159.16,157.99,2625298.0,128778126.0
2017-05-16,154.15,162.13,162.13,154.15,4035671.0,198332113.0
2017-05-15,150.07,156.49,155.94,149.45,2456911.0,116628926.0
2017-05-12,150.62,152.84,150.23,143.98,3540906.0,161502489.0
2017-05-11,150.07,151.96,151.96,148.93,1660801.0,76722835.0
2017-05-10,151.28,154.34,150.72,149.94,1744295.0,81464994.0
2017-05-09,149.55,151.15,150.98,148.44,2348787.0,108188636.0
2017-05-08,152.84,154.15,149.42,149.06,3195802.0,147317397.0
2017-05-05,158.94,159.2,152.84,151.54,3271161.0,155212262.0
2017-05-04,158.97,160.34,158.9,157.73,1658538.0,81004890.0
2017-05-03,157.37,160.96,159.75,157.37,1487124.0,72855575.0
2017-05-02,161.25,162.59,158.06,157.34,3228749.0,158313916.0
2017-04-28,167.83,172.0,161.41,159.69,5663136.0,283655449.0
2017-04-27,169.33,172.0,170.67,164.21,2312738.0,118964795.0
2017-04-26,175.33,179.27,169.17,168.32,5122344.0,272931382.0
2017-04-25,169.56,175.95,175.43,169.33,3040923.0,161424579.0
2017-04-24,166.85,172.26,169.46,162.94,2533950.0,130889369.0
2017-04-21,177.28,177.61,170.37,169.14,2841354.0,151785501.0
2017-04-20,172.72,181.78,175.98,171.16,5792447.0,315634434.0
2017-04-19,172.98,176.63,172.39,170.31,2829839.0,149889414.0
2017-04-18,167.18,174.51,173.44,165.06,4327176.0,228019464.0
2017-04-17,164.25,169.07,166.46,164.25,1480338.0,75685004.0
2017-04-14,168.94,170.08,164.48,164.12,1169917.0,59638975.0
2017-04-13,169.53,172.33,168.88,166.4,1637256.0,85386972.0
2017-04-12,162.29,170.93,169.53,160.5,3245295.0,167115866.0
2017-04-11,161.8,165.55,163.6,156.43,2308975.0,114340507.0
2017-04-10,166.24,166.24,161.97,161.93,1952669.0,97791861.0
2017-04-07,168.65,169.07,166.5,166.46,1704605.0,87635915.0
2017-04-06,167.38,168.61,168.61,165.71,1342934.0,68769702.0
2017-04-05,164.57,170.67,167.34,163.6,2527345.0,131006166.0
2017-03-31,166.2,168.45,165.88,164.74,2248794.0,114704966.0
2017-03-30,171.06,171.06,168.22,164.44,3376026.0,173326664.0
2017-03-29,170.44,172.04,171.25,168.94,2496918.0,131065717.0
2017-03-28,169.95,170.83,169.46,168.0,1950123.0,101163768.0
2017-03-27,174.09,174.41,170.11,168.81,4353130.0,228748554.0
2017-03-24,176.6,183.8,175.26,172.85,4872920.0,267801376.0
2017-03-23,178.42,179.56,177.77,174.02,3356556.0,182424745.0
2017-03-22,176.96,179.86,178.75,174.84,4219016.0,229160201.0
2017-03-21,172.07,178.59,177.71,170.44,4948652.0,265683189.0
2017-03-20,168.35,170.5,170.5,167.54,1684488.0,87296814.0
2017-03-17,168.81,171.84,168.16,167.18,3135503.0,163326495.0
2017-03-16,171.35,173.5,168.81,167.41,3102870.0,161450869.0
2017-03-15,171.97,173.86,171.25,169.17,2670688.0,140026291.0
2017-03-14,177.19,178.29,171.74,170.63,3588789.0,190145886.0
2017-03-13,175.72,180.15,177.51,174.48,2544841.0,139114915.0
2017-03-10,174.02,178.85,176.08,173.14,2302979.0,124702699.0
2017-03-09,177.74,177.77,174.71,171.16,2135794.0,113863480.0
2017-03-08,172.82,180.48,177.12,172.3,2092243.0,113364013.0
2017-03-07,169.23,176.99,174.58,168.35,3108879.0,166306215.0
2017-03-06,169.46,171.19,170.18,165.71,2330547.0,121059040.0
2017-03-03,166.2,171.65,169.49,165.35,3966875.0,206640331.0
2017-03-02,166.2,167.8,167.21,164.67,2438155.0,124436749.0
2017-03-01,166.2,172.92,166.59,166.2,3261428.0,169450354.0
2017-02-28,165.97,167.44,166.99,165.16,2209678.0,112846241.0
2017-02-27,169.82,171.71,165.16,164.12,4511486.0,229716775.0
2017-02-24,171.38,172.72,172.07,169.53,2476806.0,130105230.0
2017-02-23,170.28,177.54,172.98,170.28,5495717.0,293198326.0
2017-02-22,169.95,176.04,170.47,165.09,4776570.0,250270087.0
2017-02-21,167.6,170.93,168.48,164.9,3698976.0,190751039.0
2017-02-20,159.49,172.3,167.67,159.49,8362607.0,428583448.0
2017-02-17,153.23,161.8,159.2,153.23,4937533.0,239992852.0
2017-02-16,154.57,155.19,154.15,153.1,1210443.0,57256080.0
2017-02-15,156.72,158.97,154.57,153.66,1515522.0,72478276.0
2017-02-14,156.1,156.65,155.97,154.41,1476553.0,70518817.0
2017-02-13,153.1,159.33,156.43,152.22,4437012.0,213425479.0
2017-02-10,149.91,154.89,152.71,149.91,4028233.0,189351383.0
2017-02-09,148.12,150.14,149.88,147.66,1794399.0,82279082.0
2017-02-08,146.58,148.12,147.95,145.25,1086524.0,48921757.0
2017-02-07,147.3,148.25,146.65,146.32,927054.0,41839052.0
2017-02-06,146.65,147.37,146.81,145.48,1054701.0,47447214.0
2017-02-03,147.43,147.43,146.81,146.42,520922.0,23452184.0
2017-01-26,146.52,147.3,146.42,146.03,509227.0,22910931.0
2017-01-25,147.37,147.37,146.23,145.15,691413.0,31080808.0
2017-01-24,148.02,148.6,147.37,146.65,1053584.0,47694574.0
2017-01-23,146.97,150.1,148.02,146.81,1412575.0,64325364.0
2017-01-20,146.65,147.92,146.65,146.0,1192966.0,53640656.0
2017-01-19,149.26,149.26,146.94,146.16,1066657.0,48287618.0
2017-01-18,146.42,149.78,149.32,146.42,1158033.0,52862311.0
2017-01-17,145.25,147.63,146.42,143.39,660812.0,29587560.0
2017-01-16,145.61,147.24,145.28,140.29,1129760.0,50285442.0
2017-01-13,147.95,149.09,145.44,145.35,975320.0,43783358.0
2017-01-12,151.7,151.7,147.92,147.89,769205.0,35199848.0
2017-01-11,154.24,154.24,150.89,149.65,1218613.0,56544776.0
2017-01-10,153.0,156.43,154.05,152.22,1472552.0,69827907.0
2017-01-09,153.33,153.98,153.04,151.54,1032590.0,48442417.0
2017-01-06,152.78,156.43,153.82,152.22,2463379.0,116993461.0
2017-01-05,152.55,154.21,153.07,152.22,1778805.0,83562400.0
